Test #,Water diaphram,Air flow rate (Nm3/h),Rotameter air pressure (bar),Water diaphragm press. drop (mbar),Relative pressure in the test section (bar),Type of differential pressure (pC-pD) or (pD-pC),Pressure drop in the pipe (mbar),Water temperature (C),Water mass in the pipe (g),Flow pattern
1,S,0.36,6.0,78.11,0.28,pD-pC,82.45,19.54,345,slug
2,S,0.71,5.9,78.53,0.27,pD-pC,90.95,19.74,329,slug
3,S,3.58,5.2,78.53,0.27,pD-pC,96.7,19.74,132,slug-churn
4,S,8.25,5.4,78.67,0.26,pD-pC,95.85,19.64,104,slug-churn
5,S,16.98,4.2,78.23,0.27,pD-pC,95.23,19.54,44,churn-annular
6,S,0.33,5.0,372.44,0.3,pD-pC,53.13,17.88,505,slug
7,S,0.71,5.0,372.66,0.29,pD-pC,62.81,17.69,416,slug
8,S,3.49,5.0,373.4,0.29,pD-pC,71.12,17.69,316,slug
9,S,8.24,5.4,372.81,0.29,pD-pC,66.85,17.69,149,slug-churn
10,S,16.73,4.2,370.41,0.3,pD-pC,53.15,17.69,96,churn-annular
13,M,0.25,5.8,71.02,0.29,pD-pC,63.02,18.86,424,slug
14,S,0.75,5.5,71.58,0.27,pD-pC,82.47,19.45,289,slug
15,S,3.82,5.2,71.41,0.27,pD-pC,84.77,19.74,173,slug
16,S,8.58,5.4,71.45,0.26,pD-pC,89.49,20.03,118,slug-annular
17,S,16.39,4.2,71.42,0.26,pD-pC,87.06,20.03,51,annular
12,M,0.72,5.8,96.75,0.32,pD-pC,37.1,16.71,487,slug
13,M,3.42,5.0,96.61,0.31,pD-pC,47.8,16.61,325,slug
14,M,8.77,5.4,95.38,0.34,pD-pC,20.07,16.61,193,slug-churn
16,M,0.29,6.0,217.3,0.27,pD-pC,5.5,16.71,628,bubbly
17,M,0.82,6.0,214.91,0.32,pD-pC,9.68,16.52,539,bubbly
18,M,3.49,5.0,212.53,0.35,pD-pC,11.1,16.42,397,slug
19,M,9.21,5.2,207.95,0.4,pC-pD,28.09,16.52,256,churn
20,M,15.99,4.0,201.78,0.45,pC-pD,55.84,16.42,203,churn
21,S,0.25,6.0,76.35,0.29,pD-pC,71.17,24.82,370,Slug (ampiezza elevata)
22,S,0.73,5.9,76.11,0.27,pD-pC,87.18,25.12,283,Slug
23,S,2.94,5.0,75.52,0.27,pD-pC,91.77,24.92,216,Slug
24,S,8.43,5.4,75.62,0.26,pD-pC,97.23,24.42,125,Slug/churn
25,S,15.12,4.2,75.34,0.27,pD-pC,96.27,24.33,59,Churn/annular
26,S,0.25,6.0,472.5,0.31,pD-pC,18.28,20.81,620,Bubbly - warning ( pressione invariata )
27,S,0.72,5.9,462.5,0.32,pD-pC,27.75,20.13,530,Slug - warning
28,S,2.88,5.2,462.5,0.32,pD-pC,36.3,19.25,328,Slug - warning
29,S,8.31,5.4,244.62,0.28,pD-pC,79.43,18.37,175,Slug
30,S,15.26,4.2,243.33,0.29,pD-pC,72.83,18.27,112,Slug
31,S,2.8,5.2,244.77,0.28,pD-pC,79.91,17.88,236,Slug
32,M,0.29,6.0,85.37,0.32,pD-pC,24.77,16.81,578,Bubbly
33,M,0.71,5.9,85.41,0.31,pD-pC,36.83,16.81,503,Slug
34,M,2.9,5.2,85.32,0.31,pD-pC,52.12,16.81,323,Slug
35,M,8.36,5.4,84.45,0.33,pD-pC,27.86,17.01,221,Slug
37,M,0.28,6.0,215.0,0.34,pD-pC,12.01,17.69,643,Bubbly
38,M,2.89,5.2,213.3,0.34,pD-pC,17.41,17.01,387,Slug/churn
39,M,8.3,5.4,209.1,0.78,pC-pD,22.68,17.88,283,Churn/annular
40,M,15.09,4.3,204.36,0.44,pC-pD,57.76,18.08,206,Slug/churn
