Test #,Water diaphram,Air flow rate (Nm3/h),Rotameter air pressure (bar),Water diaphragm press. drop (mbar),Relative pressure in the test section (bar),Type of differential pressure (pC-pD) or (pD-pC),Pressure drop in the pipe (mbar),Water temperature (C),Water mass in the pipe (g),Flow pattern,Water density (kg/m3),Water mass flow rate (kg/s),Air density (kg/m3),Air mass flow rate (kg/h),X coordinate Hewitt-Roberts map,Y coordinate Hewitt-Roberts map,Label Hewitt-Roberts map,quality,Measured void fraction,Void fraction - Homogenous model,Void fraction - Zivi correlation,Void fraction - Chisholm correlation,Void fraction - CISE correlation,Void fraction - Drift flux model - Bubbly flow,Void fraction - Drift flux model - Plug flow
1,S,0.25000,6.00000,76.35000,0.29000,pD-pC,71.17000,24.82000,370,Slug (ampiezza elevata),997.09366,0.15487,1.36402,0.34101,85.33064,0.02334,S,0.00061,0.52071,0.30897,0.04729,0.27103,0.30377,0.18466,0.19105
2,S,0.73000,5.90000,76.11000,0.27000,pD-pC,87.18000,25.12000,283,Slug,997.01678,0.15464,1.35359,0.98812,85.08751,0.19745,S,0.00177,0.60651,0.56661,0.12646,0.46278,0.55852,0.38515,0.38755
3,S,2.94000,5.00000,75.52000,0.27000,pD-pC,91.77000,24.92000,216,Slug,997.06813,0.15410,1.35359,3.97956,84.48778,3.20261,S,0.00712,0.67258,0.84087,0.36912,0.67902,0.83545,0.66964,0.64854
4,S,8.43000,5.40000,75.62000,0.26000,pD-pC,97.23000,24.42000,125,Slug/churn,997.19481,0.15420,1.34835,11.36657,84.58839,26.22883,S/C,0.02007,0.76233,0.93806,0.62610,0.79199,0.93556,0.79570,0.75799
5,S,15.12000,4.20000,75.34000,0.27000,pD-pC,96.27000,24.33000,59,Churn/annular,997.21736,0.15394,1.35359,20.46632,84.30373,84.70584,A/C,0.03561,0.82742,0.96455,0.75077,0.83914,0.96305,0.83292,0.78962
6,S,0.25000,6.00000,472.50000,0.31000,pD-pC,18.28000,20.81000,620,Bubbly - warning ( pressione invariata ),998.03650,0.36437,1.37437,0.34359,471.91741,0.02351,B,0.00026,0.27416,0.15981,0.02072,0.14848,0.15778,0.11327,0.11288
7,S,0.72000,5.90000,462.50000,0.32000,pD-pC,27.75000,20.13000,530,Slug - warning,998.18022,0.36067,1.37952,0.99325,462.31307,0.19576,S,0.00076,0.36292,0.35630,0.05807,0.30760,0.35109,0.26443,0.26063
8,S,2.88000,5.20000,462.50000,0.32000,pD-pC,36.30000,19.25000,328,Slug - warning,998.35900,0.36070,1.37952,3.97301,462.30983,3.13208,S,0.00305,0.56213,0.68889,0.19784,0.55296,0.68206,0.55776,0.53788
9,S,8.31000,5.40000,244.62000,0.28000,pD-pC,79.43000,18.37000,175,Slug,998.52947,0.26620,1.35882,11.29177,251.76614,25.68531,S,0.01165,0.71302,0.89646,0.48967,0.73701,0.89286,0.76140,0.72505
10,S,15.26000,4.20000,243.33000,0.29000,pD-pC,72.83000,18.27000,112,Slug,998.54831,0.26554,1.36402,20.81496,250.50870,86.94647,S,0.02131,0.77515,0.94097,0.63881,0.79653,0.93875,0.81322,0.77077
11,S,2.80000,5.20000,244.77000,0.28000,pD-pC,79.91000,17.88000,236,Slug,998.62074,0.26629,1.35882,3.80469,251.91109,2.91608,S,0.00395,0.65286,0.74468,0.24426,0.59624,0.73797,0.59726,0.57737
12,M,0.29000,6.00000,85.37000,0.32000,pD-pC,24.77000,16.81000,578,Bubbly,998.81079,0.55663,1.37952,0.40006,1100.48291,0.03176,B,0.00020,0.31558,0.12629,0.01584,0.11904,0.12491,0.09558,0.09376
13,M,0.71000,5.90000,85.41000,0.31000,pD-pC,36.83000,16.81000,503,Slug,998.81079,0.55676,1.37437,0.97580,1100.99506,0.18965,S,0.00049,0.38955,0.26134,0.03786,0.23322,0.25787,0.20233,0.19735
14,M,2.90000,5.20000,85.32000,0.31000,pD-pC,52.12000,16.81000,323,Slug,998.81079,0.55647,1.37437,3.98567,1099.84272,3.16389,S,0.00199,0.56706,0.59115,0.13854,0.48064,0.58458,0.48473,0.46591
15,M,8.36000,5.40000,84.45000,0.33000,pD-pC,27.86000,17.01000,221,Slug,998.77624,0.55364,1.38464,11.57561,1088.70351,26.48939,S,0.00577,0.66765,0.80730,0.31840,0.64843,0.80232,0.68857,0.65496
16,M,0.28000,6.00000,215.00000,0.34000,pD-pC,12.01000,17.69000,643,Bubbly,998.65542,0.88108,1.38975,0.38913,2757.69102,0.02982,B,0.00012,0.25148,0.08101,0.00975,0.07793,0.08034,0.06445,0.06243
17,M,2.89000,5.20000,213.30000,0.34000,pD-pC,17.41000,17.01000,387,Slug/churn,998.77624,0.87766,1.38975,4.01638,2735.97740,3.17727,S/C,0.00127,0.50394,0.47741,0.09255,0.39789,0.47192,0.39699,0.38018
18,M,8.30000,5.40000,209.10000,0.78000,pC-pD,22.68000,17.88000,283,Churn/annular,998.62074,0.86895,1.59840,13.26675,2682.33572,30.14148,A/C,0.00422,0.60651,0.72600,0.23661,0.58157,0.72037,0.62135,0.59047
19,M,15.09000,4.30000,204.36000,0.44000,pC-pD,57.76000,18.08000,206,Slug/churn,998.58381,0.85907,1.43983,21.72702,2621.79281,89.74518,S/C,0.00698,0.68245,0.82971,0.35503,0.66862,0.82554,0.71889,0.68090
